No,Name,Year,G_B,PA,AB,R_B,H_B,2B_B,3B_B,HR_B,TB,RBI,SB,CS,BB_B,HBP_B,IBB_B,SO_B,GDP,SAC,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR_B,WPA_B,G_P,CG,ShO,GS,W_P,L_P,SV,HLD(HD),IP,R_P,ER,TBF,H_P,2B_P,3B_P,HR_P,BB_P,IBB_P,HBP_P,SO_P,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,WAR_P,WPA_P,Rank,G,W_T,L_T,D,P
2,NC,2016,1941,5833,5007,857,1457,249,19,169,2251,808,99,41,609,93,18,1023,133,70,52,.291,.375,.450,.824,.369,108.6,28.87,16.13,628,0,0,144,83,58,36,62,1286.1,690,642,5643,1314,208,18,137,516,2,86,1147,7,84,4.49,4.79,1.42,113.3,107.4,25.78,-3.70,2,144,83,58,3,0.589
3,³Ø¼¾,2016,1780,5702,4990,813,1464,254,39,134,2198,765,154,83,556,63,17,956,121,34,59,.293,.368,.440,.808,.364,100.8,23.47,16.99,608,0,0,144,77,66,38,74,1280.1,757,705,5684,1487,249,27,152,435,3,68,895,3,50,4.96,5.11,1.50,106.0,101.4,21.57,-11.47,3,144,77,66,1,0.538
4,»ï¼º,2016,1808,5863,5093,852,1492,249,34,142,2235,792,104,50,552,75,15,864,119,88,55,.293,.367,.439,.806,.360,100.1,22.21,13.64,647,2,0,144,65,78,34,60,1282.1,869,804,5799,1507,251,20,193,518,6,87,935,8,52,5.64,5.69,1.58,93.4,91.7,12.55,-20.19,9,144,65,78,1,0.455
5,·Ôµ¥,2016,1840,5784,5001,777,1439,252,20,127,2112,732,145,64,596,83,18,1061,120,62,41,.288,.370,.422,.793,.359,100.4,21.46,14.15,668,2,1,144,66,78,27,59,1266.1,865,792,5785,1486,276,32,161,585,27,78,1009,5,82,5.63,5.36,1.64,92.8,97.5,11.08,-20.15,8,144,66,78,0,0.458
6,KIA,2016,1924,5696,4999,803,1429,264,28,170,2259,754,101,50,499,87,12,997,109,66,45,.286,.358,.452,.810,.360,99.6,21.40,10.68,635,7,1,144,70,73,38,74,1276.0,785,708,5771,1456,230,23,131,561,18,59,965,7,69,4.99,5.03,1.58,103.7,103.8,19.63,-12.19,5,144,70,73,1,0.490
7,LG,2016,1936,5765,5051,786,1464,238,26,118,2108,744,121,70,523,72,10,982,92,65,54,.290,.361,.417,.779,.352,98.0,20.29,13.27,676,2,2,144,71,71,34,75,1287.2,807,729,5782,1426,243,23,122,539,27,109,909,1,84,5.10,5.06,1.53,99.8,99.0,14.32,-13.17,4,144,71,71,2,0.500
8,SK,2016,1834,5672,5023,753,1464,234,19,182,2282,715,89,60,429,102,13,1018,104,71,47,.291,.356,.454,.811,.359,100.1,20.23,7.56,600,1,0,144,69,75,31,43,1274.0,784,699,5659,1386,232,22,151,527,18,76,945,7,65,4.94,5.23,1.50,105.7,100.3,18.28,-10.56,6,144,69,75,0,0.479
9,ÇÑÈ­,2016,1888,5838,5109,826,1478,242,27,142,2200,787,64,38,510,91,19,1025,123,87,41,.289,.362,.431,.792,.355,95.6,17.49,14.55,680,1,0,144,66,75,24,39,1292.2,908,828,5937,1520,230,15,155,634,23,76,976,6,72,5.76,5.44,1.67,91.1,96.5,13.12,-19.05,7,144,66,75,3,0.468
1,Å°¿ò,2019,1637,5658,4991,780,1405,252,37,112,2067,741,110,33,514,69,13,943,122,36,48,.282,.354,.414,.768,.352,113.8,32.46,9.03,611,2,2,144,86,57,39,90,1279.0,572,512,5427,1293,244,24,61,371,3,58,984,6,45,3.60,3.48,1.30,114.9,118.7,22.38,5.42,2,144,86,57,1,0.601
2,µÎ»ê,2019,1738,5669,4912,736,1364,235,31,84,1913,692,102,38,562,73,16,799,117,39,83,.278,.355,.389,.745,.344,109.5,27.97,6.12,621,3,0,144,88,55,44,69,1283.2,550,501,5434,1259,231,22,78,380,22,70,860,5,49,3.51,3.85,1.28,116.9,106.0,23.81,10.43,1,144,88,55,1,0.615
3,NC,2019,1783,5631,4968,674,1383,249,26,128,2068,639,86,45,456,83,14,880,126,64,60,.278,.345,.416,.762,.346,107.7,26.43,-1.13,645,5,2,144,73,69,32,68,1284.1,631,573,5578,1285,199,19,103,483,10,92,991,2,68,4.02,4.22,1.38,104.9,100.0,17.55,3.13,5,144,73,69,2,0.514
4,KT,2019,1883,5572,4956,650,1374,186,20,103,1909,615,103,44,475,51,15,973,113,45,45,.277,.344,.385,.729,.336,102.8,23.28,1.76,567,2,1,144,71,70,37,59,1276.0,661,611,5529,1302,225,25,118,481,17,61,847,6,50,4.31,4.51,1.40,96.0,91.2,12.47,-1.44,6,144,71,71,2,0.500
5,LG,2019,1825,5532,4924,641,1315,233,15,94,1860,604,107,47,434,77,17,961,117,49,48,.267,.333,.378,.711,.327,98.8,21.84,2.58,600,1,0,144,78,64,43,61,1282.1,633,554,5552,1257,223,23,89,498,15,91,952,1,64,3.89,4.16,1.37,105.6,97.9,14.99,5.28,4,144,79,64,1,0.552
6,SK,2019,1731,5542,4919,655,1290,218,14,117,1887,622,118,50,462,87,20,966,92,35,38,.262,.334,.384,.718,.331,97.2,19.10,0.55,628,0,0,144,88,55,51,92,1292.1,546,503,5463,1240,176,14,99,436,12,50,1092,4,50,3.50,3.81,1.30,121.5,112.2,30.31,16.03,3,144,88,55,1,0.615
7,KIA,2019,1807,5505,4874,605,1286,248,19,76,1800,566,87,42,496,59,13,919,108,31,45,.264,.336,.369,.706,.328,95.8,17.66,-3.84,603,3,2,144,62,79,30,64,1264.0,723,655,5614,1362,257,24,101,504,17,76,976,2,51,4.66,4.23,1.48,89.9,98.9,14.08,-5.39,7,144,62,80,2,0.437
8,»ï¼º,2019,1652,5533,4866,622,1245,230,26,122,1893,598,107,42,478,78,15,976,107,58,53,.256,.329,.389,.718,.328,94.6,17.27,-4.93,627,4,4,144,60,83,29,60,1275.1,731,658,5638,1332,254,36,125,523,9,70,924,5,49,4.64,4.60,1.46,93.5,92.7,11.56,-6.64,8,144,60,83,1,0.420
9,ÇÑÈ­,2019,1738,5482,4882,607,1249,223,16,88,1768,562,105,51,441,70,12,1090,112,44,45,.256,.324,.362,.686,.317,92.1,14.98,-7.10,649,2,0,144,58,86,28,43,1268.2,737,679,5655,1407,238,19,120,526,9,72,934,4,66,4.82,4.55,1.52,86.0,91.4,11.74,-6.91,9,144,58,86,0,0.403
10,·Ôµ¥,2019,1821,5488,4919,578,1231,214,22,90,1759,545,62,31,430,64,12,1085,108,35,40,.250,.316,.358,.674,.312,86.0,10.91,-10.09,664,1,1,144,48,93,16,47,1270.1,764,688,5726,1405,241,20,120,546,33,71,1032,4,103,4.87,4.39,1.54,86.0,95.6,11.97,-12.89,10,144,48,93,3,0.340
1,NC,2020,538,1655,1449,272,431,83,6,60,706,263,27,10,146,34,4,292,28,11,15,.297,.372,.487,.859,.377,120.1,10.57,7.19,196,0,0,41,29,12,12,26,371.0,189,180,1588,346,60,4,45,148,3,19,314,3,20,4.37,4.84,1.33,112.5,101.5,6.76,1.33,1,41,29,12,0,0.707
2,µÎ»ê,2020,547,1722,1506,264,450,89,6,43,680,251,17,11,156,24,7,261,46,9,27,.299,.368,.452,.819,.363,118.4,10.01,6.16,191,0,0,42,26,16,12,13,377.2,237,213,1699,438,100,5,30,141,5,19,280,1,22,5.08,4.41,1.53,93.1,106.5,4.53,-1.29,2,42,26,16,0,0.619
3,Å°¿ò,2020,537,1709,1476,249,394,74,10,51,641,231,29,7,186,22,4,327,30,8,17,,,,,,,,,193,0,0,43,26,17,8,18,379.0,197,176,1612,395,59,4,42,104,3,23,272,5,16,4.18,4.61,1.32,114.4,102.7,6.31,-0.15,3,43,26,17,0,0.605
