¼ø¼­,ÀÌ¸§,ÆÀ,°æ±â ¼ö,Å¸¼®,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,ÃÑ ·çÅ¸,Å¸Á¡,µµ·ç,µµ·ç½ÇÆÐ,º¼³Ý,»ç±¸,°íÀÇ»ç±¸,»ïÁø,º´»ì,Èñ»ýÅ¸,Èñ»ýÇÃ¶óÀÌ,Å¸À²,Ãâ·çÀ²,ÀåÅ¸À²,OPS,wOBA,wRC+,WAR,WPA
34,±è°æ³²,82»ï2B,77,314,297,28,80,15,5,3,114,27,2,1,13,0,0,36,9,2,2,0.269,0.298,0.384,0.682,0.309,85.8,1.14,
35,Â÷µ¿¿­,82·ÔC,68,232,207,22,52,8,0,2,66,19,7,3,19,2,0,34,3,3,1,0.251,0.319,0.319,0.638,0.299,79.2,1.03,
36,À¯ÁöÈÍ,82OSS,80,299,274,29,69,14,2,4,99,38,12,6,15,2,0,15,4,7,1,0.252,0.295,0.361,0.656,0.295,76.2,1,
37,ÇÔÇÐ¼ö,82»ï1B,73,289,261,46,68,14,2,7,107,51,8,2,22,2,0,34,8,2,2,0.261,0.321,0.41,0.731,0.331,99.7,0.95,
38,¹è´ë¿õ,82»ïSS,71,263,235,30,54,9,0,5,78,27,7,2,25,0,0,10,2,3,0,0.23,0.304,0.332,0.636,0.295,76.9,0.94,
39,½Å¾ðÈ£,82MCF,77,256,229,30,55,14,1,3,80,26,10,5,22,3,0,26,8,1,1,0.24,0.314,0.349,0.663,0.309,85.5,0.91,
40,±è¹ÙÀ§,82M1B,58,132,109,21,32,4,0,4,48,26,3,2,19,2,2,15,3,0,2,0.294,0.402,0.44,0.842,0.383,133.2,0.87,
41,¾ç½Â°ü,82»ïRF,72,269,242,32,65,6,1,8,97,40,3,4,20,3,1,46,5,0,4,0.269,0.327,0.401,0.728,0.331,100.2,0.86,
42,±è¿ë¿î,82MC,72,238,217,20,53,6,2,3,72,29,2,2,18,0,2,16,6,2,1,0.244,0.301,0.332,0.633,0.289,73.2,0.82,
43,Á¶¹üÇö,82OC,48,126,118,12,32,7,2,2,49,9,2,2,6,0,0,22,2,2,0,0.271,0.307,0.415,0.722,0.322,94.1,0.76,
44,ÀÌÈ«¹ü,82OCF,71,175,153,29,36,7,1,3,54,15,9,2,16,3,1,17,2,2,1,0.235,0.318,0.353,0.671,0.307,84.6,0.76,
45,Á¤ÇõÁø,82ORF,59,155,147,17,44,7,1,3,62,23,3,2,5,2,0,15,2,0,1,0.299,0.329,0.422,0.751,0.342,107.4,0.69,
46,¼Õ»óµæ,82»ïC,53,155,143,21,34,3,2,2,47,16,8,2,7,1,0,21,1,3,1,0.238,0.276,0.329,0.605,0.274,63.3,0.53,
47,Á¤±¸¿Õ,82»ïCF,46,157,145,14,41,1,2,0,46,17,16,7,6,3,0,19,2,3,0,0.283,0.325,0.317,0.642,0.299,79.3,0.53,
48,±è±¤¼ö,82OSS,47,125,103,10,28,2,0,1,33,14,6,3,11,3,0,8,2,8,0,0.272,0.359,0.32,0.679,0.307,84.2,0.51,
49,±èÁ¾À±,82ÇØRF,69,194,168,19,41,8,2,1,56,15,11,4,19,3,0,37,2,2,2,0.244,0.328,0.333,0.662,0.309,85.5,0.48,
50,Á¤Á¾Çö,82OC,36,95,84,8,19,5,1,2,32,6,1,1,6,3,0,9,1,0,1,0.226,0.298,0.381,0.679,0.307,84.3,0.47,
51,Ãµº¸¼º,82»ï2B,36,104,90,13,24,6,0,0,30,10,2,0,10,1,0,9,2,1,1,0.267,0.343,0.333,0.677,0.315,89.6,0.45,
52,ÀåÁ¤±â,82»ï1B,78,278,235,34,55,12,1,3,78,27,7,3,32,5,0,27,2,5,1,0.234,0.337,0.332,0.669,0.313,88.5,0.44,
53,¹ÚÂù,82»ïLF,29,85,76,12,22,4,0,1,29,8,2,0,8,0,0,14,2,0,0,0.289,0.357,0.382,0.739,0.342,106.8,0.41,
54,Á¶Ãæ¿­,82ÇØSS,80,298,268,35,62,8,0,2,76,21,8,4,20,5,1,23,11,4,1,0.231,0.296,0.284,0.58,0.272,61.2,0.38,
55,ÀÌ±Ù½Ä,82ORF,68,233,211,30,57,9,1,1,71,20,9,3,11,5,1,14,4,6,0,0.27,0.322,0.336,0.658,0.3,79.9,0.37,
56,±èÀç»ó,82·ÔCF,26,58,51,7,14,1,1,0,17,3,8,2,5,1,0,9,0,0,1,0.275,0.345,0.333,0.678,0.321,93.3,0.37,
57,ÀÓÁ¤¸é,82ÇØ3B,26,90,73,10,16,4,1,1,25,5,2,1,12,1,0,11,0,4,0,0.219,0.337,0.342,0.68,0.308,84.8,0.34,
58,¼Û¿µ¿î,82MRF,77,302,263,37,69,11,1,1,85,28,15,10,27,1,0,26,4,7,4,0.262,0.329,0.323,0.652,0.301,80.8,0.32,
59,ÃÖÁ¤±â,82MC,25,28,25,4,8,3,0,1,14,7,0,1,2,0,0,7,0,0,1,0.32,0.357,0.56,0.917,0.399,143.5,0.3,
60,±èºÀ±â,82MLF,35,39,33,10,12,1,0,0,13,6,2,4,1,4,0,4,0,1,0,0.364,0.447,0.394,0.841,0.395,140.9,0.22,
61,ÀÌÃ¶¼º,82»ïRF,42,166,146,17,38,7,1,0,47,10,3,5,15,1,0,9,1,4,0,0.26,0.333,0.322,0.655,0.305,83.3,0.13,
62,Á¤¿µ±â,82MSS,75,270,246,27,56,5,1,1,66,23,6,6,21,0,0,32,3,2,1,0.228,0.287,0.268,0.556,0.265,57.3,0.12,
63,¼Û°æ¼·,82»ï3B,53,172,152,9,30,9,1,2,47,20,2,1,12,5,0,41,4,1,2,0.197,0.275,0.309,0.584,0.272,62.7,0.11,
64,¹ÚÀü¼·,82ÇØC,45,115,106,7,23,4,1,0,29,7,0,0,7,1,0,13,2,1,0,0.217,0.272,0.274,0.546,0.257,51.2,0.1,
65,¹ÚÁ¾È£,82O,4,5,4,0,2,0,0,0,2,2,0,0,1,0,0,0,1,0,0,0.5,0.6,0.5,1.1,0.521,224.4,0.1,
66,±è¿ì±Ù,82ÇØCF,61,166,143,14,27,5,0,4,44,18,11,1,13,4,3,16,3,6,0,0.189,0.275,0.308,0.583,0.257,50.8,0.06,
67,ÃÖ¼øÇÏ,82·ÔC,37,94,82,5,17,0,0,0,17,5,0,0,10,1,0,7,1,1,0,0.207,0.301,0.207,0.508,0.255,51.2,0.06,
68,Á¶È£,82M1B,45,64,52,8,11,2,0,0,13,4,4,2,6,5,0,11,1,1,0,0.212,0.349,0.25,0.599,0.3,79.8,0.02,
69,¼Õ»ó´ë,82»ïC,12,22,19,1,4,0,0,0,4,2,1,0,1,1,0,5,0,1,0,0.211,0.286,0.211,0.496,0.238,40.2,0.01,
70,½ÅÅÂÁß,82ÇØP,2,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,0.314,88.5,0.01,
71,ÀÓ½Å±Ù,82»ïP,2,5,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0.4,0,0.4,0.289,72.9,0.01,
72,¹Ú»ó¿­,82OP,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0.01,
,ÀÌ»óÀ±,82ÇØP,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0.01,
,±è¿ë³²,82ÇØP,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0.01,
75,ÀÌÀ±¼·,82·ÔP,25,33,31,3,6,2,0,1,11,5,0,0,2,0,0,10,1,0,0,0.194,0.242,0.355,0.597,0.27,60.9,-0.01,
76,ÃÖ¿µÈ¯,82»ïC,48,107,98,9,17,2,2,2,29,11,0,1,7,1,0,21,1,0,1,0.173,0.234,0.296,0.53,0.244,44.8,-0.01,
77,±¸Àç¼­,82O,16,3,3,10,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0.314,88.6,-0.01,
78,±èµ¿Ã¶,82»ïP,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-109.9,-0.02,
79,¹è¼öÈñ,82M,22,24,23,2,5,0,1,0,7,3,0,0,1,0,0,4,0,0,0,0.217,0.25,0.304,0.554,0.255,51.1,-0.02,
80,ÀÌÃá±Ù,82»ï,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-109.9,-0.06,
81,±èÁøÈ«,82OC,4,5,5,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.188,6.4,-0.06,
82,±èÀ¯µ¿,82ODH,57,165,155,21,38,8,1,6,66,23,2,3,3,3,0,17,2,2,2,0.245,0.27,0.426,0.696,0.305,83.1,-0.09,
83,ÃÖÁ¤¿ì,82MCF,31,65,56,6,12,0,0,0,12,4,3,2,7,0,0,12,1,1,0,0.214,0.302,0.214,0.516,0.251,48.8,-0.09,
84,¹ÚÀçÃµ,82M,13,22,21,2,3,0,1,0,5,0,1,0,1,0,0,3,0,0,0,0.143,0.182,0.238,0.42,0.193,11,-0.11,
85,¹ÚÁØ¿µ,82»ïLF,19,47,40,4,9,2,0,0,11,4,0,0,4,0,0,6,0,2,1,0.225,0.289,0.275,0.564,0.257,53.2,-0.11,
86,È«¼ø¸¸,82ÇØC,11,15,13,2,1,0,0,0,1,0,0,0,2,0,0,2,3,0,0,0.077,0.2,0.077,0.277,0.159,-13.9,-0.11,
87,¹æ¼ö¿ø,82ÇØP,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-119.2,-0.11,
88,ÃÖ¿µÁ¶,82ÇØ2B,25,37,32,1,5,0,0,0,5,1,1,0,5,0,0,11,1,0,0,0.156,0.27,0.156,0.427,0.225,29.6,-0.12,
89,ÀÌ°æ¼ö,82»ïCF,28,62,59,9,11,3,1,0,16,3,1,0,2,1,0,8,1,0,0,0.186,0.226,0.271,0.497,0.231,36.7,-0.12,
90,Á¤¹®¼·,82·ÔRF,57,136,117,12,23,3,0,4,38,13,0,2,14,1,0,28,0,3,1,0.197,0.286,0.325,0.611,0.279,66.8,-0.16,
91,¼­Á¤È¯,82»ï3B,47,135,124,18,25,1,1,2,34,19,9,1,5,1,0,21,2,4,1,0.202,0.237,0.274,0.511,0.231,35.4,-0.17,
92,¹®ÁÖ¸ð,82»ïCF,11,15,14,1,1,0,0,0,1,0,0,0,1,0,0,4,1,0,0,0.071,0.133,0.071,0.205,0.111,-39.6,-0.18,
93,ÀÌ±Ù½Ä,82ORF,20,28,27,1,5,1,0,0,6,1,1,1,1,0,0,11,0,0,0,0.185,0.214,0.222,0.437,0.207,18.6,-0.2,
94,±è°æÈÆ,82ÇØC,29,41,35,3,3,1,0,0,4,1,1,0,5,0,0,9,1,1,0,0.086,0.2,0.114,0.314,0.166,-9.4,-0.25,
95,±èÀç¹Ú,82MSS,3,13,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,-113,-0.26,
96,±èÁøÃ¶,82»ïC,29,50,46,3,6,1,1,0,9,4,0,2,3,1,0,12,1,0,0,0.13,0.2,0.196,0.396,0.192,12.1,-0.27,
97,±è°æ¹®,82OC,51,122,106,10,23,4,0,0,27,6,2,4,7,0,0,7,2,9,0,0.217,0.266,0.255,0.52,0.231,34.3,-0.27,
98,¾öÅÂ¼·,82·ÔCF,36,99,95,8,19,3,0,0,22,6,2,0,4,0,0,11,1,0,0,0.2,0.232,0.232,0.464,0.221,29.2,-0.3,
99,±è±¸±æ,82»ï3B,32,70,64,1,13,1,0,0,14,2,1,1,3,0,0,15,0,1,1,0.203,0.235,0.219,0.454,0.211,23.8,-0.32,
100,±èÀÏÈ¯,82·Ô1B,65,210,181,18,44,5,1,0,51,8,4,4,21,1,2,22,3,7,0,0.243,0.325,0.282,0.607,0.281,67.7,-0.33,
101,ÀÌ¼ºµæ,82·Ô2B,52,132,116,6,22,1,0,0,23,2,2,2,12,0,0,8,5,3,1,0.19,0.264,0.198,0.462,0.225,32.1,-0.48,
102,±èÈÖ¿í,82»ï,34,69,64,5,10,1,1,1,16,9,0,0,1,0,0,8,1,1,1,0.156,0.167,0.25,0.417,0.178,1.6,-0.49,
103,±è¿ë¸¸,82ÇØC,56,110,102,7,15,3,0,0,18,7,2,1,6,1,0,10,3,1,0,0.147,0.202,0.176,0.378,0.184,3,-0.56,
