¼ø¼­,ÀÌ¸§,ÆÀ,°æ±â ¼ö,Å¸¼®,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,ÃÑ ·çÅ¸,Å¸Á¡,µµ·ç,µµ·ç½ÇÆÐ,º¼³Ý,»ç±¸,°íÀÇ»ç±¸,»ïÁø,º´»ì,Èñ»ýÅ¸,Èñ»ýÇÃ¶óÀÌ,Å¸À²,Ãâ·çÀ²,ÀåÅ¸À²,OPS,wOBA,wRC+,WAR,WPA
76,±è»óÀç,93½Ö2B,94,265,244,26,55,6,0,7,82,32,9,10,14,2,0,53,6,1,4,0.225,0.269,0.336,0.605,0.284,80,0.59,
77,ÀÓÁÖÅÃ,93ºùLF,41,88,78,10,21,3,0,3,33,8,0,1,8,0,0,19,3,1,1,0.269,0.333,0.423,0.756,0.35,127.5,0.52,
78,±è¿ë±¹,93»ï3B,90,236,202,22,42,5,0,2,53,13,3,2,26,3,0,29,4,4,1,0.208,0.306,0.262,0.568,0.276,74.5,0.52,
79,Àå¿øÁø,93OLF,49,86,72,9,19,4,1,0,25,6,4,0,9,0,0,12,0,4,1,0.264,0.342,0.347,0.689,0.313,100.6,0.46,
80,±èÀÎÈ£,93ÅÂ3B,72,226,203,19,45,6,1,3,62,10,1,3,18,0,0,42,4,4,1,0.222,0.284,0.305,0.589,0.278,74.9,0.43,
81,±è¹ÎÈ£,93OSS,113,314,272,28,65,8,2,0,77,21,12,5,14,3,0,52,3,21,4,0.239,0.28,0.283,0.563,0.251,53.9,0.43,
82,ÁöÈ­µ¿,93ºù2B,113,310,267,27,61,12,0,1,76,19,14,7,23,1,0,44,7,16,3,0.228,0.289,0.285,0.574,0.262,64.5,0.43,
83,ÀÌÁ¤ÈÆ,93ºùRF,41,129,111,10,25,5,1,2,38,12,3,1,15,0,2,15,2,1,2,0.225,0.313,0.342,0.655,0.303,93.5,0.42,
84,±èÁ¾¼º,93O,10,13,12,4,6,2,1,0,10,2,1,1,1,0,0,6,0,0,0,0.5,0.539,0.833,1.372,0.619,334.1,0.41,
85,±è¼±Áø,93L1B,57,112,103,16,26,3,2,1,36,12,7,3,7,1,0,14,1,1,0,0.252,0.306,0.35,0.656,0.309,97.6,0.39,
86,±èÃæ¹Î,93½ÖC,44,109,94,8,18,7,0,1,28,10,2,1,11,1,0,24,4,3,0,0.191,0.283,0.298,0.581,0.274,72.3,0.39,
87,ÀÌÁ¾¹Î,93O,91,123,114,25,29,4,2,1,40,6,8,4,4,0,0,15,5,4,1,0.254,0.277,0.351,0.628,0.285,79.2,0.38,
88,¹Ú³ëÁØ,93½ÖLF,113,366,331,28,75,14,3,0,95,26,14,6,22,7,0,46,3,6,0,0.227,0.289,0.287,0.576,0.274,72.4,0.36,
89,±è»ó±¹,93ºùC,103,274,244,17,48,3,1,2,59,13,2,1,23,2,2,47,6,4,1,0.197,0.27,0.242,0.512,0.245,51.9,0.36,
90,±è°æÇÏ,93LLF,115,252,222,24,50,6,3,3,71,21,4,1,16,5,2,37,2,9,0,0.225,0.292,0.32,0.612,0.28,75.9,0.35,
91,¹é¼ºÁø,93ÅÂ,47,139,122,13,31,4,1,0,37,13,4,5,8,4,0,29,4,5,0,0.254,0.321,0.303,0.624,0.292,85.4,0.34,
92,¾È°æÇö,93O3B,75,170,147,15,30,9,0,2,45,10,1,1,12,5,0,22,2,6,0,0.204,0.287,0.306,0.593,0.277,73.4,0.34,
93,±è°©Áß,93ÅÂ,29,92,85,3,22,2,2,0,28,4,2,2,5,1,0,13,2,1,0,0.259,0.308,0.329,0.637,0.3,91.6,0.33,
94,±ÇÁØÇå,93ÅÂ3B,47,140,135,13,30,6,0,3,45,13,2,0,5,0,0,38,6,0,0,0.222,0.25,0.333,0.583,0.275,73.1,0.33,
95,¾ç¿ë¸ð,93ºùLF,113,391,349,35,75,16,1,2,99,26,15,3,31,3,1,84,8,7,1,0.215,0.284,0.284,0.568,0.269,69.1,0.32,
96,ÀüÁ¾È­,93½ÖC,69,118,110,9,22,2,0,4,36,10,2,2,6,0,0,23,1,1,1,0.2,0.239,0.327,0.567,0.265,65.7,0.31,
97,ÀÌ°Ç¿­,93ÇØLF,111,350,302,32,69,7,0,5,91,26,10,6,29,3,0,53,7,13,3,0.228,0.3,0.301,0.601,0.279,76.7,0.31,
98,±è¿ø±Ù,93ºù,20,60,55,5,17,2,0,0,19,6,0,3,5,0,0,12,2,0,0,0.309,0.367,0.345,0.712,0.342,122,0.3,
99,ÀÌÁ¾È£,93ºù,52,89,75,8,16,2,1,2,26,11,0,1,9,1,0,15,2,4,0,0.213,0.306,0.347,0.653,0.298,90.3,0.3,
100,°­ÅÂÀ±,93»ï,50,101,87,5,22,1,0,1,26,7,0,0,10,0,0,17,2,3,1,0.253,0.327,0.299,0.625,0.294,87.4,0.3,
101,¿øÇö½Ä,93ºùC,20,26,23,4,5,2,0,1,10,1,1,0,2,1,0,4,0,0,0,0.217,0.308,0.435,0.743,0.348,126,0.29,
102,È²´ë¿¬,93ºù3B,21,48,43,3,10,3,0,1,16,4,0,0,5,0,0,10,2,0,0,0.233,0.313,0.372,0.685,0.325,109.5,0.28,
103,°­Çü¼®,93O,21,34,29,4,8,2,0,0,10,2,1,1,4,1,0,3,0,0,0,0.276,0.382,0.345,0.727,0.353,131.5,0.27,
104,±èÁ¤¹Î,93LC,61,74,67,5,17,4,0,0,21,5,0,1,3,1,0,13,2,2,1,0.254,0.292,0.313,0.605,0.28,75.9,0.25,
105,±èÈ£±Ù,93½ÖC,79,204,192,13,39,7,1,2,54,18,1,2,8,1,0,42,2,1,2,0.203,0.237,0.281,0.518,0.244,50.8,0.2,
106,È²ÀÏ±Ç,93O2B,63,121,104,10,20,5,0,1,28,6,3,1,8,6,0,27,5,3,0,0.192,0.288,0.269,0.557,0.269,67,0.18,
107,°íÁ¤½Ä,93·ÔC,13,32,29,4,7,1,0,0,8,1,1,0,3,0,0,4,1,0,0,0.241,0.313,0.276,0.588,0.287,82.6,0.18,
108,È²À±¼º,93ÅÂ2B,18,23,22,1,7,1,0,0,8,1,0,0,0,1,0,4,0,0,0,0.318,0.348,0.364,0.712,0.34,120.8,0.17,
109,±è¹ÌÈ£,93·Ô,57,64,58,8,14,2,0,0,16,5,3,0,3,1,0,6,0,1,1,0.241,0.286,0.276,0.562,0.266,67.4,0.16,
110,ÃÖÇØ½Ä,93½ÖC,18,32,28,3,5,1,0,1,9,3,0,0,3,1,0,4,1,0,0,0.179,0.281,0.321,0.603,0.292,85.3,0.16,
111,¾È´ëÈ¯,93O,40,77,66,13,15,4,0,0,19,8,3,1,6,1,0,10,1,1,3,0.227,0.29,0.288,0.577,0.272,69.4,0.15,
112,Á¶¾ç±Ù,93LSS,68,172,146,17,31,3,1,0,36,6,4,2,14,2,0,18,5,9,1,0.212,0.288,0.247,0.535,0.249,52.8,0.15,
113,¹ÚÁöÈ¯,93·Ô,23,36,30,1,7,0,1,0,9,3,0,0,5,0,0,3,2,0,1,0.233,0.333,0.3,0.633,0.305,95.1,0.14,
114,°­ÇöÃ¶,93·Ô,5,7,6,1,2,0,1,0,4,0,0,0,1,0,0,3,0,0,0,0.333,0.429,0.667,1.095,0.486,223.7,0.14,
115,Á¶¼º¿Á,93·ÔRF,63,112,97,8,26,1,0,1,30,13,2,1,8,0,1,9,2,4,3,0.268,0.315,0.309,0.624,0.283,79.6,0.13,
116,±èÈÆ,93ÇØRF,116,344,305,35,69,15,1,3,95,22,11,8,24,1,0,39,10,8,0,0.226,0.285,0.311,0.596,0.274,72.9,0.13,
117,Á¤¿µÁø,93ÅÂ,83,169,138,11,26,8,0,0,34,6,1,1,20,4,0,39,2,4,3,0.188,0.303,0.246,0.549,0.267,67.1,0.13,
118,¿°°æ¿±,93ÅÂSS,86,294,254,20,54,9,2,0,67,18,13,2,15,1,0,36,4,23,1,0.213,0.258,0.264,0.522,0.232,41.1,0.11,
119,±èÀÏÇõ,93ºù,42,71,64,7,12,4,0,1,19,6,2,0,5,1,0,11,1,1,0,0.188,0.257,0.297,0.554,0.263,64.8,0.11,
120,±è±âÈ«,93L,13,12,11,2,4,1,0,0,5,1,0,0,0,0,0,2,0,1,0,0.364,0.364,0.455,0.818,0.352,130.6,0.1,
121,°­±¤È¸,93½Ö,9,4,4,1,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0.5,0.5,0.5,1,0.476,220.1,0.1,
122,ÀÌÁöÈ¯,93·Ô1B,9,10,9,1,3,1,0,0,4,0,0,0,1,0,0,1,0,0,0,0.333,0.4,0.444,0.844,0.398,161.2,0.1,
123,±è°æ¼ö,93½Ö,13,11,11,1,3,1,0,0,4,0,4,1,0,0,0,4,1,0,0,0.273,0.273,0.364,0.636,0.298,89.7,0.09,
124,Á¶º´ÀÏ,93L,3,2,2,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0.476,224.5,0.09,
125,°è±â¹ü,93ÅÂ,8,17,15,2,4,0,0,1,7,3,0,1,1,0,0,5,1,0,1,0.267,0.294,0.467,0.761,0.343,122.5,0.08,
126,Àå±¤È£,93ÅÂC,98,321,279,17,48,10,0,4,70,24,1,3,30,2,2,56,6,8,2,0.172,0.256,0.251,0.507,0.239,46.7,0.08,
127,¹Ú°æ¿Ï,93½ÖC,26,57,48,1,10,2,0,0,12,2,0,0,3,2,0,14,0,4,0,0.208,0.283,0.25,0.533,0.245,51,0.06,
128,°­È¿¼·,93½Ö,5,9,9,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,0.318,104.2,0.04,
129,±èÅÂ¹Î,93L,1,2,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,,1,,,0.721,,0.03,
130,¼Ò»ó¿µ,93O,4,5,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.25,0.4,0.25,0.65,0.331,114.8,0.03,
131,±è¼º¿­,93ºù,30,44,36,5,6,0,0,0,6,1,2,1,7,1,0,10,1,0,0,0.167,0.318,0.167,0.485,0.259,61.7,0.02,
132,´ç½Å»ó,93LC,3,3,3,1,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0.333,0.333,0.333,0.667,0.318,104.4,0.02,
133,¹Ú±Ô´ë,93»ï,4,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0.318,104.2,0.02,
134,°í±â¼º,93ºù,77,145,131,13,28,7,0,1,38,13,3,1,7,1,0,33,3,5,1,0.214,0.257,0.29,0.547,0.252,57.1,0.02,
135,¹Úº´È£,93ÇØC,12,20,19,1,4,0,0,0,4,2,1,0,1,0,0,5,1,0,0,0.211,0.25,0.211,0.461,0.226,38,0.01,
136,ÃÖ±ÔÇÏ,93L,17,19,17,2,3,1,0,0,4,1,1,0,2,0,0,7,0,0,0,0.176,0.263,0.235,0.499,0.246,50.5,0.01,
137,À¯¸í¼±,93»ïP,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,0.01,
138,±è¿ë¼±,93ºù3B,79,142,121,14,20,4,0,3,33,8,0,1,14,2,0,37,1,5,0,0.165,0.263,0.273,0.536,0.253,57.9,0.01,
139,ÀüÈ£±Ù,93·ÔC,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0.01,
140,½Å°æÈ£,93ÇØ,3,8,7,0,2,0,0,0,2,0,0,1,1,0,0,3,0,0,0,0.286,0.375,0.286,0.661,0.326,110.3,0.01,
141,±èº´µÎ,93ÇØ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,
,ÃÖÈ«ÁÖ,93»ï,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,
143,¿ìÅÂ¿ø,93ºù,12,5,5,3,1,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0.2,0.2,0.2,0.4,0.191,12.8,0,
144,¹ÚÀÎ±¸,93»ï,29,26,24,4,5,0,0,0,5,0,1,0,2,0,0,4,0,0,0,0.208,0.269,0.208,0.478,0.237,46.6,0,
145,¹ÚÈ«Ã¶,93»ï,4,4,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,0.238,47.2,-0.01,
146,ÀÌÀüÁø,93O,3,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.333,0,0.333,0.234,41,-0.01,
147,Àü»ó·Ä,93»ïLF,7,5,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.25,0.25,0.25,0.5,0.191,13,-0.01,
148,Àå¿ë´ë,93ÅÂ,5,6,4,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0.333,0,0.333,0.234,43.2,-0.01,
149,Àå´ö¿µ,93ÅÂ,6,10,8,0,1,0,0,0,1,1,0,0,1,1,0,4,0,0,0,0.125,0.3,0.125,0.425,0.239,46.9,-0.02,
150,±èÈ«Áý,93ºù,12,24,22,4,4,0,0,1,7,5,0,0,1,0,0,5,0,0,1,0.182,0.208,0.318,0.527,0.243,50.2,-0.02,
151,Á¶°æÅÃ,93OC,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-137.8,-0.02,
152,½Åµ¿ÁÖ,93»ïCF,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-123.8,-0.02,
153,¼Û¸íÃ¶,93OC,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-144.1,-0.02,
154,ÃÖ°è¿µ,93·ÔLF,40,74,66,7,12,6,1,0,20,7,1,0,5,1,0,2,1,1,1,0.182,0.247,0.303,0.55,0.256,60.6,-0.02,
155,ÀÌÃ¢¿ø,93»ïLF,15,21,20,1,4,2,0,0,6,2,0,0,0,1,0,8,2,0,0,0.2,0.238,0.3,0.538,0.256,60.1,-0.03,
156,ÀÓ¼º¿ì,93ºù,5,9,9,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.222,0.222,0.222,0.444,0.212,28.1,-0.03,
157,¼­È¿ÀÎ,93LCF,34,42,32,2,5,1,0,0,6,7,0,1,7,1,0,11,1,1,1,0.156,0.317,0.188,0.505,0.258,59.4,-0.03,
158,³ª¿õ,93L3B,21,2,2,6,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,-135.8,-0.04,
159,±è¼ºÁØ,93ÅÂC,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-128.7,-0.04,
160,±èÀç´ö,93ÇØSS,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-124.4,-0.04,
161,À¯¼º±â,93½Ö,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-127.6,-0.04,
,ÃÖÇØ¸í,93½Ö,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-127.6,-0.04,
163,Á¶¿ëÈ£,93½ÖLF,3,9,9,1,2,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0.222,0.222,0.222,0.444,0.212,27,-0.04,
164,±¸Ãµ¼­,93O3B,12,7,5,4,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0.286,0,0.286,0.201,15.4,-0.05,
165,ÀÌÅÂÈ¯,93·Ô,4,6,6,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.167,0.167,0.167,0.333,0.159,-8.8,-0.05,
166,ÃÖ¿µ¼ú,93O,7,7,7,0,1,0,0,0,1,0,1,0,0,0,0,3,1,0,0,0.143,0.143,0.143,0.286,0.136,-34,-0.05,
167,±è¼º±â,93L,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-135.8,-0.07,
168,¹ÚÈï½Ä,93L3B,25,32,31,3,6,2,0,0,8,4,0,0,1,0,0,3,0,0,0,0.194,0.219,0.258,0.477,0.227,35.6,-0.07,
169,±èº´Á¶,93ÇØ3B,66,79,68,12,12,2,0,1,17,9,0,1,7,1,0,15,1,2,1,0.176,0.26,0.25,0.51,0.244,50.8,-0.07,
170,Á¤È£Áø,93·ÔC,42,97,86,7,19,2,0,0,21,4,1,0,3,0,0,9,5,7,1,0.221,0.244,0.244,0.489,0.217,32.5,-0.08,
171,¹Ú±âº¹,93·Ô,9,7,6,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0.143,0,0.143,0.1,-50.3,-0.09,
172,ÀÌ¿µÀç,93»ïC,28,13,13,0,2,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0.154,0.154,0.154,0.308,0.147,-18.6,-0.09,
173,±æÈ«±Ô,93O,30,41,38,2,9,1,0,0,10,4,0,0,1,0,0,8,3,1,1,0.237,0.25,0.263,0.513,0.236,42.5,-0.09,
174,±è»ó¿ì,93·Ô,51,75,68,9,13,2,0,1,18,5,1,1,4,1,0,12,3,1,1,0.191,0.243,0.265,0.508,0.241,49.7,-0.09,
175,ÀÌÁßÈ­,93ºùRF,15,22,19,6,3,0,0,0,3,0,1,1,3,0,0,2,1,0,0,0.158,0.273,0.158,0.431,0.226,38.2,-0.09,
176,ÃÖÁØÈ£,93½Ö,28,68,60,3,11,2,0,0,13,3,2,0,5,1,0,10,1,1,1,0.183,0.254,0.217,0.47,0.229,39.5,-0.1,
177,¿À¸íÁ¾,93ÇØ,5,15,15,1,2,0,0,0,2,1,2,0,0,0,0,1,0,0,0,0.133,0.133,0.133,0.267,0.127,-33,-0.11,
178,ÁÖ°æ¾÷,93ÅÂ,12,19,18,1,3,0,0,0,3,0,0,0,1,0,0,4,0,0,0,0.167,0.211,0.167,0.377,0.187,8.8,-0.11,
179,¼ÕÂ÷ÈÆ,93ÅÂ3B,93,304,279,21,61,14,0,1,78,7,3,4,13,2,0,46,3,10,0,0.219,0.259,0.28,0.538,0.25,54.4,-0.11,
180,Á¶±ÔÃ¶,93·Ô,10,10,9,2,1,0,0,0,1,0,0,1,1,0,0,2,1,0,0,0.111,0.2,0.111,0.311,0.166,-4,-0.11,
181,ÀÌ°æº¹,93ÇØ,20,23,22,2,4,0,0,0,4,0,0,0,1,0,0,1,1,0,0,0.182,0.217,0.182,0.399,0.196,16.9,-0.11,
182,ÀÌ¿ë¼®,93ÇØ,63,129,124,6,27,6,0,1,36,10,0,2,4,0,0,27,0,0,1,0.218,0.24,0.29,0.531,0.251,56.1,-0.12,
183,±èÁ¤¼ö,93½Ö,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,-127.6,-0.13,
184,±èµ¿Àç,93LLF,6,8,7,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0.125,0,0.125,0.088,-69.3,-0.13,
185,ÀÌ°æÈ£,93ÅÂ,13,35,33,2,6,0,0,0,6,2,1,0,2,0,0,10,2,0,0,0.182,0.229,0.182,0.41,0.204,20.6,-0.13,
186,ÃÖÈÆÀç,93L1B,92,222,198,19,41,9,1,3,61,27,0,5,22,0,0,21,3,1,1,0.207,0.285,0.308,0.593,0.284,78.8,-0.13,
187,À±¿ëÇÏ,93»ï,86,181,162,14,28,3,0,3,40,11,1,1,18,1,1,33,4,0,0,0.173,0.26,0.247,0.507,0.247,53.8,-0.14,
188,¿©ÅÂ±¸,93ÅÂCF,64,196,179,17,36,9,0,0,45,13,11,2,10,0,1,26,2,6,1,0.201,0.242,0.251,0.494,0.228,38.2,-0.14,
189,±ÇÀç±¤,93·Ô,21,29,27,2,4,1,0,0,5,1,0,0,2,0,0,8,0,0,0,0.148,0.207,0.185,0.392,0.194,16.4,-0.14,
190,±è¼º±Ô,93½Ö1B,87,255,224,16,54,3,1,0,59,15,3,2,20,3,0,33,6,8,0,0.241,0.312,0.263,0.575,0.274,72.1,-0.15,
191,°­µÎ°ï,93»ï,15,25,24,4,3,1,0,0,4,3,1,0,1,0,0,2,3,0,0,0.125,0.16,0.167,0.327,0.159,-9.6,-0.17,
192,°­¼º¿ì,93·ÔC,62,168,149,6,29,4,0,1,36,18,0,1,7,2,0,21,2,7,3,0.195,0.236,0.242,0.478,0.22,34.9,-0.17,
193,ÀÌ±Ù¿±,93ÅÂ3B,30,78,69,3,14,2,0,0,16,3,0,0,5,0,0,10,2,3,1,0.203,0.253,0.232,0.485,0.227,37.6,-0.18,
194,ÇÑÇõ¼ö,93½Ö,35,54,50,1,8,1,0,1,12,3,0,1,4,0,0,11,3,0,0,0.16,0.222,0.24,0.462,0.225,36.8,-0.19,
195,ÀÌ¿ì¼ö,93L,38,53,46,6,9,0,0,0,9,2,0,0,4,0,0,14,0,3,0,0.196,0.26,0.196,0.456,0.215,26.7,-0.19,
196,ÀÌ¹ÎÈ£,93ÇØ3B,8,15,12,1,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0.143,0,0.143,0.094,-56.9,-0.19,
197,¹Ú±âÅÃ,93½Ö,12,21,17,0,1,0,0,0,1,1,0,0,3,0,0,7,0,1,0,0.059,0.2,0.059,0.259,0.146,-21.1,-0.2,
198,À¯¿µ¿ø,93½Ö,19,34,33,2,4,1,0,1,8,3,0,0,1,0,0,14,0,0,0,0.121,0.147,0.242,0.39,0.184,6.4,-0.2,
199,±èÈ«±â,93ÅÂC,15,32,31,0,4,1,0,0,5,2,0,0,1,0,0,9,0,0,0,0.129,0.156,0.161,0.318,0.154,-15.7,-0.21,
200,¹éÀÎÈ£,93½ÖRF,40,114,100,7,20,1,0,0,21,6,0,0,10,3,0,17,5,0,1,0.2,0.29,0.21,0.5,0.252,56.3,-0.22,
201,±è¼±¿ì,93ÅÂC,12,28,28,2,3,1,0,0,4,2,1,0,0,0,0,1,0,0,0,0.107,0.107,0.143,0.25,0.117,-42.9,-0.24,
202,±èÁø±Ô,93ÅÂ,13,25,21,1,2,0,0,0,2,1,0,0,2,0,0,4,1,2,0,0.095,0.174,0.095,0.269,0.132,-31.5,-0.26,
203,¾È¸íÈ£,93·ÔC,26,23,21,2,2,0,0,0,2,0,0,0,0,0,0,7,0,2,0,0.095,0.095,0.095,0.191,0.083,-62.8,-0.27,
204,¹ÚÀç¹ú,93ÇØ,19,29,26,3,3,1,0,0,4,0,0,0,1,0,0,5,0,2,0,0.115,0.148,0.154,0.302,0.137,-25.7,-0.28,
205,À±Âù,93L,64,121,105,9,20,2,0,1,25,9,3,6,8,4,0,21,2,3,1,0.19,0.271,0.238,0.509,0.246,50.3,-0.29,
206,¿ø¿ø±Ù,93ÅÂ3B,49,127,114,3,20,1,0,0,21,4,1,1,13,0,0,30,1,0,0,0.175,0.26,0.184,0.444,0.225,36.6,-0.31,
207,±è¼®¿¬,93ºù,34,35,33,2,5,0,0,0,5,3,0,1,1,0,0,14,2,1,0,0.152,0.177,0.152,0.328,0.156,-11.9,-0.33,
208,¹Ú½ÂÈ£,93»ïDH,31,65,60,4,10,0,0,2,16,5,0,0,4,1,2,9,1,0,0,0.167,0.231,0.267,0.497,0.227,39,-0.35,
209,¼ÛÅÂÀÏ,93·Ô1B,51,84,80,3,15,4,0,0,19,8,2,0,3,0,0,17,2,1,0,0.188,0.217,0.238,0.454,0.215,31.2,-0.4,
210,ÀÌ»ó´ë,93½ÖRF,97,270,239,23,53,10,0,1,66,17,3,5,17,3,0,41,9,9,1,0.222,0.281,0.276,0.557,0.26,62,-0.4,
211,À±ÀçÈ£,93ÇØSS,59,59,52,2,5,0,0,0,5,2,3,2,4,1,0,14,0,2,0,0.096,0.175,0.096,0.272,0.141,-23,-0.48,
212,¼ÛÀÎÈ£,93½Ö3B,98,273,236,14,41,7,0,3,57,14,13,13,25,2,0,61,10,9,1,0.174,0.258,0.242,0.499,0.238,46.1,-0.53,
213,À¯¿µÈ¯,93ÅÂ,61,183,161,12,31,4,1,0,37,7,1,1,8,3,0,34,3,10,1,0.193,0.243,0.23,0.473,0.218,31,-0.58,
214,°û¿¬¼ö,93O,54,125,110,9,19,4,0,0,23,6,0,0,8,1,1,11,2,4,2,0.173,0.231,0.209,0.441,0.205,18.6,-0.59,
215,±èÁ¾¼®,93O1B,70,159,141,14,27,3,1,1,35,16,2,3,13,1,1,25,7,2,2,0.191,0.261,0.248,0.509,0.242,46.8,-0.62,
216,±è¼±ÀÏ,93·ÔC,48,119,106,4,15,1,1,0,18,3,0,2,3,1,0,11,1,8,1,0.142,0.171,0.17,0.341,0.154,-12.1,-0.79,
217,±¸À±,93»ïÅÂRF,60,140,128,7,16,3,1,0,21,11,0,1,10,1,1,53,1,0,1,0.125,0.193,0.164,0.357,0.175,2,-1.11,
1,ÀÌÁ¾¹ü,94ÇØSS,124,561,499,113,196,27,5,19,290,77,84,15,51,6,14,31,2,1,4,0.393,0.452,0.581,1.033,0.462,198.3,11.77,
2,À¯ÁöÇö,94LSS,126,574,482,109,147,20,0,15,212,51,51,10,64,8,0,60,4,14,6,0.305,0.391,0.44,0.831,0.376,141.5,7.35,
3,±è±âÅÂ,94½Ö1B,108,454,376,70,119,20,4,25,222,79,9,10,74,2,13,70,10,0,2,0.316,0.43,0.59,1.02,0.449,191.2,6.07,
4,±èÀçÇö,94LRF,125,535,463,81,134,26,3,21,229,80,21,4,55,12,2,86,7,0,5,0.289,0.376,0.495,0.87,0.395,155.1,5.97,
5,°øÇÊ¼º,94·Ô3B,126,488,420,55,114,23,5,12,183,57,25,10,45,13,2,71,8,4,6,0.271,0.355,0.436,0.791,0.36,128,4.55,
6,È«Çö¿ì,94ÇØ3B,126,524,463,70,126,20,2,16,198,72,14,7,50,4,1,63,6,5,2,0.272,0.347,0.428,0.775,0.354,124.2,4.42,
7,À±´ö±Ô,94ÅÂLF,100,407,368,49,118,27,3,11,184,51,8,1,34,2,4,57,9,1,2,0.321,0.379,0.5,0.879,0.397,153.8,4.32,
8,±è°æ±â,94ÅÂ1B,124,498,433,68,120,19,3,23,214,70,3,2,56,7,6,68,9,0,2,0.277,0.368,0.494,0.862,0.389,147.8,4.25,
9,±èÀÀ±¹,94·ÔLF,100,407,350,63,113,24,4,8,169,55,20,11,45,3,4,45,7,2,7,0.323,0.398,0.483,0.88,0.397,153.3,4.24,
10,±è¹ÎÈ£,94·Ô1B,117,493,439,58,130,34,2,15,213,78,21,3,44,3,7,84,10,2,5,0.296,0.361,0.485,0.846,0.378,140.7,4.23,
11,¾çÁØÇõ,94»ïDH,123,496,427,62,128,21,1,19,208,87,15,4,63,0,7,42,7,1,5,0.3,0.386,0.487,0.873,0.393,151,4.22,
12,ÇÑ´ëÈ­,94L3B,106,414,357,49,106,15,1,10,153,67,3,1,48,5,2,48,11,0,4,0.297,0.384,0.429,0.813,0.376,141.5,4.22,
13,±èµ¿¼ö,94LC,95,369,316,45,91,20,3,6,135,42,4,4,43,5,3,39,6,4,1,0.288,0.381,0.427,0.808,0.37,136.6,4.16,
14,ÀÌ¼øÃ¶,94ÇØCF,85,360,314,42,101,19,2,8,148,54,18,7,33,1,0,41,7,10,2,0.322,0.386,0.471,0.857,0.383,144.3,4,
15,±èµ¿±â,94ÅÂC,119,421,368,49,97,16,0,15,158,50,3,6,38,12,4,74,15,3,0,0.264,0.352,0.429,0.781,0.357,126.1,3.92,
16,¼­¿ëºó,94L1B,126,543,493,72,157,30,4,4,207,72,6,2,39,5,3,62,9,0,5,0.318,0.371,0.42,0.791,0.365,133.2,3.85,
17,¹ÚÁ¾È£,94L2B,105,400,335,59,87,14,6,6,131,56,21,10,45,13,2,44,8,4,3,0.26,0.366,0.391,0.757,0.35,122.8,3.46,
